Data Table for Daily Death Trends - The United States,,,,
Date generated: Wed Nov 03 2021 10:08:54 GMT-0400 (Eastern Daylight Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Aug  6 2020,1215,1138,0
United States,Aug  5 2020,1240,1174,0
United States,Aug  4 2020,1103,1163,0
United States,Aug  3 2020,956,1180,0
United States,Aug  2 2020,929,1182,0
United States,Aug  1 2020,1156,1184,0
United States,Jul 31 2020,1369,1184,0
United States,Jul 30 2020,1465,1180,0
United States,Jul 29 2020,1167,1153,0
United States,Jul 28 2020,1224,1154,0
United States,Jul 27 2020,969,1155,0
United States,Jul 26 2020,941,1150,0
United States,Jul 25 2020,1159,1151,0
United States,Jul 24 2020,1341,1127,0
United States,Jul 23 2020,1274,1091,0
United States,Jul 22 2020,1171,1064,0
United States,Jul 21 2020,1234,1061,0
United States,Jul 20 2020,931,1019,0
United States,Jul 19 2020,950,997,0
United States,Jul 18 2020,993,982,0
United States,Jul 17 2020,1090,968,0
United States,Jul 16 2020,1079,946,0
United States,Jul 15 2020,1153,924,0
United States,Jul 14 2020,940,915,0
United States,Jul 13 2020,774,914,0
United States,Jul 12 2020,847,898,0
United States,Jul 11 2020,893,848,0
United States,Jul 10 2020,936,796,0
United States,Jul  9 2020,928,780,0
United States,Jul  8 2020,1087,747,0
United States,Jul  7 2020,935,705,0
United States,Jul  6 2020,666,662,0
United States,Jul  5 2020,494,640,0
United States,Jul  4 2020,528,630,0
United States,Jul  3 2020,823,638,0
United States,Jul  2 2020,696,622,0
United States,Jul  1 2020,793,624,0
United States,Jun 30 2020,637,608,0
United States,Jun 29 2020,513,621,0
United States,Jun 28 2020,424,623,0
United States,Jun 27 2020,585,621,0
United States,Jun 26 2020,709,619,0
United States,Jun 25 2020,710,622,1824
United States,Jun 24 2020,684,614,0
United States,Jun 23 2020,725,613,0
United States,Jun 22 2020,528,605,0
United States,Jun 21 2020,410,608,0
United States,Jun 20 2020,570,621,0
United States,Jun 19 2020,733,631,0
United States,Jun 18 2020,654,631,0
United States,Jun 17 2020,673,660,0
United States,Jun 16 2020,672,687,0
United States,Jun 15 2020,548,710,0
